ID CIP6,CIP6,ID Year,Year,ID University,University,ID Gender,Gender,Completions,Slug University,Slug CIP6
420101,General Psychology,2018,2018,193900,New York University,2,Women,279,new-york-university,general-psychology-420101
420101,General Psychology,2014,2014,193900,New York University,2,Women,277,new-york-university,general-psychology-420101
500602,Cinematography & Film Production,2019,2019,193900,New York University,2,Women,277,new-york-university,cinematography-film-production
90702,Digital Communication & Multimedia,2017,2017,193900,New York University,2,Women,269,new-york-university,digital-communication-multimedia
420101,General Psychology,2012,2012,193900,New York University,2,Women,266,new-york-university,general-psychology-420101
521801,"General Sales, Distribution, & Marketing Operations",2017,2017,193900,New York University,2,Women,266,new-york-university,general-sales-distribution-marketing-operations
500501,General Drama & Theater Arts,2018,2018,193900,New York University,2,Women,264,new-york-university,general-drama-theater-arts
420101,General Psychology,2015,2015,193900,New York University,2,Women,263,new-york-university,general-psychology-420101
220101,Law,2019,2019,193900,New York University,2,Women,262,new-york-university,law-220101
450601,General Economics,2015,2015,193900,New York University,2,Women,262,new-york-university,general-economics
90199,Other Communication & Media Studies,2016,2016,193900,New York University,2,Women,260,new-york-university,other-communication-media-studies
521801,"General Sales, Distribution, & Marketing Operations",2016,2016,193900,New York University,2,Women,260,new-york-university,general-sales-distribution-marketing-operations
90702,Digital Communication & Multimedia,2018,2018,193900,New York University,2,Women,258,new-york-university,digital-communication-multimedia
509999,Other Visual & Performing Arts,2012,2012,193900,New York University,2,Women,258,new-york-university,other-visual-performing-arts-509999
500501,General Drama & Theater Arts,2015,2015,193900,New York University,2,Women,257,new-york-university,general-drama-theater-arts
450601,General Economics,2016,2016,193900,New York University,2,Women,255,new-york-university,general-economics
509999,Other Visual & Performing Arts,2013,2013,193900,New York University,2,Women,254,new-york-university,other-visual-performing-arts-509999
500602,Cinematography & Film Production,2017,2017,193900,New York University,2,Women,247,new-york-university,cinematography-film-production
90199,Other Communication & Media Studies,2013,2013,193900,New York University,2,Women,243,new-york-university,other-communication-media-studies
110101,General Computer & Information Sciences,2019,2019,193900,New York University,2,Women,243,new-york-university,general-computer-information-sciences-110101
229999,Other Legal Professions & Studies,2013,2013,193900,New York University,2,Women,242,new-york-university,other-legal-professions-studies
450601,General Economics,2013,2013,193900,New York University,2,Women,240,new-york-university,general-economics
220101,Law,2018,2018,193900,New York University,2,Women,239,new-york-university,law-220101
500602,Cinematography & Film Production,2018,2018,193900,New York University,2,Women,235,new-york-university,cinematography-film-production
90199,Other Communication & Media Studies,2014,2014,193900,New York University,2,Women,234,new-york-university,other-communication-media-studies
512201,General Public Health,2019,2019,193900,New York University,2,Women,234,new-york-university,general-public-health
220101,Law,2016,2016,193900,New York University,2,Women,231,new-york-university,law-220101
90199,Other Communication & Media Studies,2012,2012,193900,New York University,2,Women,229,new-york-university,other-communication-media-studies
440401,Public Administration,2012,2012,193900,New York University,2,Women,229,new-york-university,public-administration-440401
220101,Law,2017,2017,193900,New York University,2,Women,227,new-york-university,law-220101
90199,Other Communication & Media Studies,2015,2015,193900,New York University,2,Women,226,new-york-university,other-communication-media-studies
220101,Law,2013,2013,193900,New York University,2,Women,226,new-york-university,law-220101
450603,Econometrics & Quantitative Economics,2019,2019,193900,New York University,2,Women,225,new-york-university,econometrics-quantitative-economics
500602,Cinematography & Film Production,2016,2016,193900,New York University,2,Women,225,new-york-university,cinematography-film-production
512201,General Public Health,2018,2018,193900,New York University,2,Women,224,new-york-university,general-public-health
450603,Econometrics & Quantitative Economics,2017,2017,193900,New York University,2,Women,223,new-york-university,econometrics-quantitative-economics
500602,Cinematography & Film Production,2014,2014,193900,New York University,2,Women,223,new-york-university,cinematography-film-production
520101,General Business,2017,2017,193900,New York University,2,Women,219,new-york-university,general-business
450603,Econometrics & Quantitative Economics,2018,2018,193900,New York University,2,Women,218,new-york-university,econometrics-quantitative-economics
440401,Public Administration,2014,2014,193900,New York University,2,Women,216,new-york-university,public-administration-440401
509999,Other Visual & Performing Arts,2016,2016,193900,New York University,2,Women,215,new-york-university,other-visual-performing-arts-509999
220101,Law,2015,2015,193900,New York University,2,Women,214,new-york-university,law-220101
90401,Journalism,2013,2013,193900,New York University,2,Women,213,new-york-university,journalism-090401
520101,General Business,2016,2016,193900,New York University,2,Women,213,new-york-university,general-business
440401,Public Administration,2016,2016,193900,New York University,2,Women,212,new-york-university,public-administration-440401
110101,General Computer & Information Sciences,2018,2018,193900,New York University,2,Women,211,new-york-university,general-computer-information-sciences-110101
520101,General Business,2015,2015,193900,New York University,2,Women,210,new-york-university,general-business
500602,Cinematography & Film Production,2013,2013,193900,New York University,2,Women,209,new-york-university,cinematography-film-production
500602,Cinematography & Film Production,2015,2015,193900,New York University,2,Women,209,new-york-university,cinematography-film-production
440401,Public Administration,2013,2013,193900,New York University,2,Women,207,new-york-university,public-administration-440401
440401,Public Administration,2015,2015,193900,New York University,2,Women,204,new-york-university,public-administration-440401
509999,Other Visual & Performing Arts,2015,2015,193900,New York University,2,Women,204,new-york-university,other-visual-performing-arts-509999
510401,Dentistry,2015,2015,193900,New York University,2,Women,204,new-york-university,dentistry-510401
513801,Registered Nursing,2012,2012,193900,New York University,2,Women,204,new-york-university,registered-nursing
500602,Cinematography & Film Production,2012,2012,193900,New York University,2,Women,202,new-york-university,cinematography-film-production
521801,"General Sales, Distribution, & Marketing Operations",2014,2014,193900,New York University,2,Women,202,new-york-university,general-sales-distribution-marketing-operations
440401,Public Administration,2017,2017,193900,New York University,2,Women,199,new-york-university,public-administration-440401
510401,Dentistry,2016,2016,193900,New York University,2,Women,199,new-york-university,dentistry-510401
510401,Dentistry,2019,2019,193900,New York University,2,Women,197,new-york-university,dentistry-510401
99999,"Other Communication, Journalism, & Related Programs",2016,2016,193900,New York University,2,Women,196,new-york-university,other-communication-journalism-related-programs
220101,Law,2012,2012,193900,New York University,2,Women,196,new-york-university,law-220101
509999,Other Visual & Performing Arts,2019,2019,193900,New York University,2,Women,195,new-york-university,other-visual-performing-arts-509999
450601,General Economics,2012,2012,193900,New York University,2,Women,193,new-york-university,general-economics
220101,Law,2014,2014,193900,New York University,2,Women,189,new-york-university,law-220101
90401,Journalism,2014,2014,193900,New York University,2,Women,188,new-york-university,journalism-090401
90401,Journalism,2015,2015,193900,New York University,2,Women,188,new-york-university,journalism-090401
99999,"Other Communication, Journalism, & Related Programs",2014,2014,193900,New York University,2,Women,188,new-york-university,other-communication-journalism-related-programs
509999,Other Visual & Performing Arts,2014,2014,193900,New York University,2,Women,187,new-york-university,other-visual-performing-arts-509999
521801,"General Sales, Distribution, & Marketing Operations",2015,2015,193900,New York University,2,Women,186,new-york-university,general-sales-distribution-marketing-operations
90401,Journalism,2012,2012,193900,New York University,2,Women,185,new-york-university,journalism-090401
520801,General Finance,2014,2014,193900,New York University,2,Women,185,new-york-university,general-finance
510401,Dentistry,2012,2012,193900,New York University,2,Women,180,new-york-university,dentistry-510401
520101,General Business,2019,2019,193900,New York University,2,Women,180,new-york-university,general-business
451001,General Political Science & Government,2014,2014,193900,New York University,2,Women,177,new-york-university,general-political-science-government
510401,Dentistry,2014,2014,193900,New York University,2,Women,176,new-york-university,dentistry-510401
512201,General Public Health,2017,2017,193900,New York University,2,Women,176,new-york-university,general-public-health
440401,Public Administration,2019,2019,193900,New York University,2,Women,175,new-york-university,public-administration-440401
510401,Dentistry,2017,2017,193900,New York University,2,Women,175,new-york-university,dentistry-510401
520801,General Finance,2013,2013,193900,New York University,2,Women,175,new-york-university,general-finance
509999,Other Visual & Performing Arts,2017,2017,193900,New York University,2,Women,173,new-york-university,other-visual-performing-arts-509999
510401,Dentistry,2018,2018,193900,New York University,2,Women,172,new-york-university,dentistry-510401
99999,"Other Communication, Journalism, & Related Programs",2015,2015,193900,New York University,2,Women,171,new-york-university,other-communication-journalism-related-programs
520101,General Business,2018,2018,193900,New York University,2,Women,171,new-york-university,general-business
90401,Journalism,2017,2017,193900,New York University,2,Women,168,new-york-university,journalism-090401
90401,Journalism,2018,2018,193900,New York University,2,Women,166,new-york-university,journalism-090401
510401,Dentistry,2013,2013,193900,New York University,2,Women,166,new-york-university,dentistry-510401
110101,General Computer & Information Sciences,2015,2015,193900,New York University,2,Women,164,new-york-university,general-computer-information-sciences-110101
451001,General Political Science & Government,2013,2013,193900,New York University,2,Women,162,new-york-university,general-political-science-government
451001,General Political Science & Government,2016,2016,193900,New York University,2,Women,161,new-york-university,general-political-science-government
240199,"Other Liberal Arts & Sciences, General Studies, & Humanities",2012,2012,193900,New York University,2,Women,158,new-york-university,other-liberal-arts-sciences-general-studies-humanities
451001,General Political Science & Government,2015,2015,193900,New York University,2,Women,158,new-york-university,general-political-science-government
451001,General Political Science & Government,2018,2018,193900,New York University,2,Women,156,new-york-university,general-political-science-government
451001,General Political Science & Government,2012,2012,193900,New York University,2,Women,155,new-york-university,general-political-science-government
451001,General Political Science & Government,2019,2019,193900,New York University,2,Women,155,new-york-university,general-political-science-government
521801,"General Sales, Distribution, & Marketing Operations",2013,2013,193900,New York University,2,Women,155,new-york-university,general-sales-distribution-marketing-operations
99999,"Other Communication, Journalism, & Related Programs",2017,2017,193900,New York University,2,Women,154,new-york-university,other-communication-journalism-related-programs
110101,General Computer & Information Sciences,2017,2017,193900,New York University,2,Women,153,new-york-university,general-computer-information-sciences-110101
231404,British & Commonwealth English Literature,2012,2012,193900,New York University,2,Women,153,new-york-university,british-commonwealth-english-literature
90401,Journalism,2019,2019,193900,New York University,2,Women,151,new-york-university,journalism-090401
99999,"Other Communication, Journalism, & Related Programs",2018,2018,193900,New York University,2,Women,150,new-york-university,other-communication-journalism-related-programs
440401,Public Administration,2018,2018,193900,New York University,2,Women,147,new-york-university,public-administration-440401
90401,Journalism,2016,2016,193900,New York University,2,Women,144,new-york-university,journalism-090401
500703,"Art History, Criticism, & Conservation",2015,2015,193900,New York University,2,Women,143,new-york-university,art-history-criticism-conservation
451001,General Political Science & Government,2017,2017,193900,New York University,2,Women,142,new-york-university,general-political-science-government
190501,"General Food, Nutrition, & Wellness Studies",2012,2012,193900,New York University,2,Women,141,new-york-university,general-food-nutrition-wellness-studies
450901,International Relations & Affairs,2019,2019,193900,New York University,2,Women,141,new-york-university,international-relations-affairs
99999,"Other Communication, Journalism, & Related Programs",2019,2019,193900,New York University,2,Women,140,new-york-university,other-communication-journalism-related-programs
509999,Other Visual & Performing Arts,2018,2018,193900,New York University,2,Women,140,new-york-university,other-visual-performing-arts-509999
500703,"Art History, Criticism, & Conservation",2014,2014,193900,New York University,2,Women,136,new-york-university,art-history-criticism-conservation
190501,"General Food, Nutrition, & Wellness Studies",2013,2013,193900,New York University,2,Women,134,new-york-university,general-food-nutrition-wellness-studies
190501,"General Food, Nutrition, & Wellness Studies",2016,2016,193900,New York University,2,Women,131,new-york-university,general-food-nutrition-wellness-studies
231404,British & Commonwealth English Literature,2013,2013,193900,New York University,2,Women,131,new-york-university,british-commonwealth-english-literature
450901,International Relations & Affairs,2015,2015,193900,New York University,2,Women,131,new-york-university,international-relations-affairs
450901,International Relations & Affairs,2017,2017,193900,New York University,2,Women,131,new-york-university,international-relations-affairs
190501,"General Food, Nutrition, & Wellness Studies",2014,2014,193900,New York University,2,Women,129,new-york-university,general-food-nutrition-wellness-studies
512201,General Public Health,2016,2016,193900,New York University,2,Women,128,new-york-university,general-public-health
529999,"Other Business, Management, Marketing, & Related Support Services",2016,2016,193900,New York University,2,Women,127,new-york-university,other-business-management-marketing-related-support-services
500703,"Art History, Criticism, & Conservation",2017,2017,193900,New York University,2,Women,126,new-york-university,art-history-criticism-conservation
110101,General Computer & Information Sciences,2016,2016,193900,New York University,2,Women,125,new-york-university,general-computer-information-sciences-110101
500703,"Art History, Criticism, & Conservation",2019,2019,193900,New York University,2,Women,125,new-york-university,art-history-criticism-conservation
450901,International Relations & Affairs,2018,2018,193900,New York University,2,Women,124,new-york-university,international-relations-affairs
111099,Other Computer & Information Technology Services Management,2019,2019,193900,New York University,2,Women,122,new-york-university,other-computer-information-technology-services-management
190501,"General Food, Nutrition, & Wellness Studies",2015,2015,193900,New York University,2,Women,122,new-york-university,general-food-nutrition-wellness-studies
231404,British & Commonwealth English Literature,2019,2019,193900,New York University,2,Women,122,new-york-university,british-commonwealth-english-literature
131101,School Counseling & Guidance Services,2019,2019,193900,New York University,2,Women,121,new-york-university,school-counseling-guidance-services
450901,International Relations & Affairs,2012,2012,193900,New York University,2,Women,121,new-york-university,international-relations-affairs
450901,International Relations & Affairs,2013,2013,193900,New York University,2,Women,121,new-york-university,international-relations-affairs
512201,General Public Health,2014,2014,193900,New York University,2,Women,120,new-york-university,general-public-health
450901,International Relations & Affairs,2014,2014,193900,New York University,2,Women,119,new-york-university,international-relations-affairs
450901,International Relations & Affairs,2016,2016,193900,New York University,2,Women,114,new-york-university,international-relations-affairs
520801,General Finance,2012,2012,193900,New York University,2,Women,113,new-york-university,general-finance
301901,Nutrition Sciences,2017,2017,193900,New York University,2,Women,112,new-york-university,nutrition-sciences-301901
99999,"Other Communication, Journalism, & Related Programs",2013,2013,193900,New York University,2,Women,109,new-york-university,other-communication-journalism-related-programs
500703,"Art History, Criticism, & Conservation",2016,2016,193900,New York University,2,Women,108,new-york-university,art-history-criticism-conservation
510204,Audiology & Speech-Language Pathology,2019,2019,193900,New York University,2,Women,108,new-york-university,audiology-speech-language-pathology
500703,"Art History, Criticism, & Conservation",2018,2018,193900,New York University,2,Women,107,new-york-university,art-history-criticism-conservation
260101,General Biological Sciences,2019,2019,193900,New York University,2,Women,106,new-york-university,general-biological-sciences
131101,School Counseling & Guidance Services,2017,2017,193900,New York University,2,Women,105,new-york-university,school-counseling-guidance-services
529999,"Other Business, Management, Marketing, & Related Support Services",2012,2012,193900,New York University,2,Women,103,new-york-university,other-business-management-marketing-related-support-services
220201,General Advanced Legal Studies,2019,2019,193900,New York University,2,Women,102,new-york-university,general-advanced-legal-studies
540101,General History,2012,2012,193900,New York University,2,Women,102,new-york-university,general-history
131101,School Counseling & Guidance Services,2014,2014,193900,New York University,2,Women,101,new-york-university,school-counseling-guidance-services
521001,General Human Resources Management & Personnel Administration,2016,2016,193900,New York University,2,Women,101,new-york-university,general-human-resources-management-personnel-administration
529999,"Other Business, Management, Marketing, & Related Support Services",2014,2014,193900,New York University,2,Women,101,new-york-university,other-business-management-marketing-related-support-services
260101,General Biological Sciences,2018,2018,193900,New York University,2,Women,100,new-york-university,general-biological-sciences
500903,General Music Performance,2012,2012,193900,New York University,2,Women,100,new-york-university,general-music-performance
521001,General Human Resources Management & Personnel Administration,2014,2014,193900,New York University,2,Women,100,new-york-university,general-human-resources-management-personnel-administration
521501,Real Estate,2019,2019,193900,New York University,2,Women,100,new-york-university,real-estate-521501
231404,British & Commonwealth English Literature,2017,2017,193900,New York University,2,Women,98,new-york-university,british-commonwealth-english-literature
521801,"General Sales, Distribution, & Marketing Operations",2012,2012,193900,New York University,2,Women,98,new-york-university,general-sales-distribution-marketing-operations
260101,General Biological Sciences,2016,2016,193900,New York University,2,Women,97,new-york-university,general-biological-sciences
231404,British & Commonwealth English Literature,2015,2015,193900,New York University,2,Women,96,new-york-university,british-commonwealth-english-literature
521001,General Human Resources Management & Personnel Administration,2019,2019,193900,New York University,2,Women,96,new-york-university,general-human-resources-management-personnel-administration
131101,School Counseling & Guidance Services,2018,2018,193900,New York University,2,Women,95,new-york-university,school-counseling-guidance-services
529999,"Other Business, Management, Marketing, & Related Support Services",2015,2015,193900,New York University,2,Women,95,new-york-university,other-business-management-marketing-related-support-services
231404,British & Commonwealth English Literature,2016,2016,193900,New York University,2,Women,94,new-york-university,british-commonwealth-english-literature
260101,General Biological Sciences,2017,2017,193900,New York University,2,Women,94,new-york-university,general-biological-sciences
131101,School Counseling & Guidance Services,2013,2013,193900,New York University,2,Women,93,new-york-university,school-counseling-guidance-services
521001,General Human Resources Management & Personnel Administration,2018,2018,193900,New York University,2,Women,93,new-york-university,general-human-resources-management-personnel-administration
231404,British & Commonwealth English Literature,2014,2014,193900,New York University,2,Women,92,new-york-university,british-commonwealth-english-literature
510204,Audiology & Speech-Language Pathology,2012,2012,193900,New York University,2,Women,92,new-york-university,audiology-speech-language-pathology
520904,Hotel Administration & Management,2016,2016,193900,New York University,2,Women,92,new-york-university,hotel-administration-management
110101,General Computer & Information Sciences,2014,2014,193900,New York University,2,Women,91,new-york-university,general-computer-information-sciences-110101
131101,School Counseling & Guidance Services,2012,2012,193900,New York University,2,Women,91,new-york-university,school-counseling-guidance-services
510602,Dental Hygiene,2012,2012,193900,New York University,2,Women,91,new-york-university,dental-hygiene
510204,Audiology & Speech-Language Pathology,2013,2013,193900,New York University,2,Women,89,new-york-university,audiology-speech-language-pathology
540101,General History,2013,2013,193900,New York University,2,Women,89,new-york-university,general-history
520301,Accounting,2019,2019,193900,New York University,2,Women,88,new-york-university,accounting-520301
131101,School Counseling & Guidance Services,2015,2015,193900,New York University,2,Women,87,new-york-university,school-counseling-guidance-services
131101,School Counseling & Guidance Services,2016,2016,193900,New York University,2,Women,87,new-york-university,school-counseling-guidance-services
131202,Elementary Education & Teaching,2012,2012,193900,New York University,2,Women,87,new-york-university,elementary-education-teaching
151501,Engineering & Industrial Management,2018,2018,193900,New York University,2,Women,87,new-york-university,engineering-industrial-management
260101,General Biological Sciences,2015,2015,193900,New York University,2,Women,87,new-york-university,general-biological-sciences
521001,General Human Resources Management & Personnel Administration,2017,2017,193900,New York University,2,Women,87,new-york-university,general-human-resources-management-personnel-administration
540101,General History,2019,2019,193900,New York University,2,Women,87,new-york-university,general-history
301901,Nutrition Sciences,2019,2019,193900,New York University,2,Women,86,new-york-university,nutrition-sciences-301901
511201,Medicine,2014,2014,193900,New York University,2,Women,85,new-york-university,medicine-511201
151501,Engineering & Industrial Management,2017,2017,193900,New York University,2,Women,84,new-york-university,engineering-industrial-management
511201,Medicine,2012,2012,193900,New York University,2,Women,84,new-york-university,medicine-511201
511201,Medicine,2013,2013,193900,New York University,2,Women,84,new-york-university,medicine-511201
231404,British & Commonwealth English Literature,2018,2018,193900,New York University,2,Women,82,new-york-university,british-commonwealth-english-literature
260101,General Biological Sciences,2014,2014,193900,New York University,2,Women,82,new-york-university,general-biological-sciences
270301,General Applied Mathematics,2019,2019,193900,New York University,2,Women,82,new-york-university,general-applied-mathematics
450201,Anthropology,2013,2013,193900,New York University,2,Women,82,new-york-university,anthropology-450201
511201,Medicine,2015,2015,193900,New York University,2,Women,82,new-york-university,medicine-511201
521001,General Human Resources Management & Personnel Administration,2015,2015,193900,New York University,2,Women,82,new-york-university,general-human-resources-management-personnel-administration
521501,Real Estate,2018,2018,193900,New York University,2,Women,82,new-york-university,real-estate-521501
529999,"Other Business, Management, Marketing, & Related Support Services",2018,2018,193900,New York University,2,Women,82,new-york-university,other-business-management-marketing-related-support-services
540101,General History,2015,2015,193900,New York University,2,Women,82,new-york-university,general-history
459999,Other Social Sciences,2019,2019,193900,New York University,2,Women,81,new-york-university,other-social-sciences-459999
510204,Audiology & Speech-Language Pathology,2017,2017,193900,New York University,2,Women,81,new-york-university,audiology-speech-language-pathology
512201,General Public Health,2015,2015,193900,New York University,2,Women,81,new-york-university,general-public-health
99999,"Other Communication, Journalism, & Related Programs",2012,2012,193900,New York University,2,Women,80,new-york-university,other-communication-journalism-related-programs
220201,General Advanced Legal Studies,2017,2017,193900,New York University,2,Women,80,new-york-university,general-advanced-legal-studies
260101,General Biological Sciences,2013,2013,193900,New York University,2,Women,80,new-york-university,general-biological-sciences
520904,Hotel Administration & Management,2015,2015,193900,New York University,2,Women,80,new-york-university,hotel-administration-management
511201,Medicine,2019,2019,193900,New York University,2,Women,79,new-york-university,medicine-511201
220201,General Advanced Legal Studies,2018,2018,193900,New York University,2,Women,78,new-york-university,general-advanced-legal-studies
301901,Nutrition Sciences,2018,2018,193900,New York University,2,Women,78,new-york-university,nutrition-sciences-301901
520301,Accounting,2012,2012,193900,New York University,2,Women,78,new-york-university,accounting-520301
500703,"Art History, Criticism, & Conservation",2013,2013,193900,New York University,2,Women,76,new-york-university,art-history-criticism-conservation
111099,Other Computer & Information Technology Services Management,2018,2018,193900,New York University,2,Women,75,new-york-university,other-computer-information-technology-services-management
240103,Humanistic Studies,2012,2012,193900,New York University,2,Women,75,new-york-university,humanistic-studies
240103,Humanistic Studies,2013,2013,193900,New York University,2,Women,75,new-york-university,humanistic-studies
540101,General History,2014,2014,193900,New York University,2,Women,75,new-york-university,general-history
450201,Anthropology,2015,2015,193900,New York University,2,Women,74,new-york-university,anthropology-450201
510204,Audiology & Speech-Language Pathology,2014,2014,193900,New York University,2,Women,74,new-york-university,audiology-speech-language-pathology
529999,"Other Business, Management, Marketing, & Related Support Services",2019,2019,193900,New York University,2,Women,74,new-york-university,other-business-management-marketing-related-support-services
220209,International Law & Legal Studies,2016,2016,193900,New York University,2,Women,73,new-york-university,international-law-legal-studies
521501,Real Estate,2016,2016,193900,New York University,2,Women,73,new-york-university,real-estate-521501
540101,General History,2016,2016,193900,New York University,2,Women,73,new-york-university,general-history
131401,Teaching English as a Second or Foreign Language Instructor,2014,2014,193900,New York University,2,Women,72,new-york-university,teaching-english-as-a-second-or-foreign-language-instructor
131401,Teaching English as a Second or Foreign Language Instructor,2017,2017,193900,New York University,2,Women,72,new-york-university,teaching-english-as-a-second-or-foreign-language-instructor
500301,General Dance,2012,2012,193900,New York University,2,Women,72,new-york-university,general-dance
500702,General Fine Studio Arts,2012,2012,193900,New York University,2,Women,72,new-york-university,general-fine-studio-arts
500702,General Fine Studio Arts,2013,2013,193900,New York University,2,Women,72,new-york-university,general-fine-studio-arts
500903,General Music Performance,2019,2019,193900,New York University,2,Women,72,new-york-university,general-music-performance
529999,"Other Business, Management, Marketing, & Related Support Services",2017,2017,193900,New York University,2,Women,72,new-york-university,other-business-management-marketing-related-support-services
131202,Elementary Education & Teaching,2013,2013,193900,New York University,2,Women,71,new-york-university,elementary-education-teaching
220209,International Law & Legal Studies,2015,2015,193900,New York University,2,Women,71,new-york-university,international-law-legal-studies
511201,Medicine,2016,2016,193900,New York University,2,Women,71,new-york-university,medicine-511201
511201,Medicine,2017,2017,193900,New York University,2,Women,71,new-york-university,medicine-511201
521001,General Human Resources Management & Personnel Administration,2012,2012,193900,New York University,2,Women,71,new-york-university,general-human-resources-management-personnel-administration
521501,Real Estate,2017,2017,193900,New York University,2,Women,71,new-york-university,real-estate-521501
220201,General Advanced Legal Studies,2014,2014,193900,New York University,2,Women,70,new-york-university,general-advanced-legal-studies
450101,General Social Sciences,2014,2014,193900,New York University,2,Women,70,new-york-university,general-social-sciences-450101
500903,General Music Performance,2013,2013,193900,New York University,2,Women,70,new-york-university,general-music-performance
510602,Dental Hygiene,2016,2016,193900,New York University,2,Women,70,new-york-university,dental-hygiene
510602,Dental Hygiene,2017,2017,193900,New York University,2,Women,70,new-york-university,dental-hygiene
512201,General Public Health,2012,2012,193900,New York University,2,Women,70,new-york-university,general-public-health
500703,"Art History, Criticism, & Conservation",2012,2012,193900,New York University,2,Women,69,new-york-university,art-history-criticism-conservation
